mun_upp,Região de Planejamento,qtd_estabelecimentos
ITAREMA,Litoral Norte,23
ITATIRA,Sertão de Canindé,17
JAGUARETAMA,Vale do Jaguaribe,9
JAGUARIBARA,Vale do Jaguaribe,11
JAGUARIBE,Vale do Jaguaribe,11
JAGUARUANA,Litoral Leste,15
JARDIM,Cariri,18
JATI,Cariri,5
JIJOCA DE JERICOACOARA,Litoral Norte,14
JUAZEIRO DO NORTE,Cariri,78
JUCÁS,Centro Sul,12
LAVRAS DA MANGABEIRA,Cariri,10
LIMOEIRO DO NORTE,Vale do Jaguaribe,9
MADALENA,Sertão de Canindé,3
MARACANAÚ,Grande Fortaleza,73
MARANGUAPE,Grande Fortaleza,34
MARCO,Litoral Norte,5
MARTINÓPOLE,Litoral Norte,9
MASSAPÊ,Sertão de Sobral,6
MAURITI,Cariri,12
MERUOCA,Sertão de Sobral,9
MILAGRES,Cariri,15
MILHÃ,Sertão Central,10
MIRAÍMA,Litoral Oeste / Vale do Curu,5
MISSÃO VELHA,Cariri,9
MOMBAÇA,Sertão Central,24
MONSENHOR TABOSA,Sertão dos Crateús,5
MORADA NOVA,Vale do Jaguaribe,15
MORAÚJO,Sertão de Sobral,5
MORRINHOS,Litoral Norte,5
MUCAMBO,Sertão de Sobral,7
MULUNGU,Maciço de Baturité,24
NOVA OLINDA,Cariri,8
NOVA RUSSAS,Sertão dos Crateús,13
NOVO ORIENTE,Sertão dos Crateús,5
OCARA,Maciço de Baturité,8
ORÓS,Centro Sul,12
PACAJUS,Grande Fortaleza,8
PACATUBA,Grande Fortaleza,22
PACOTI,Maciço de Baturité,6
PACUJÁ,Sertão de Sobral,4
PALHANO,Vale do Jaguaribe,7
PALMÁCIA,Maciço de Baturité,7
PARACURU,Grande Fortaleza,10
PARAIPABA,Grande Fortaleza,21
PARAMBU,Sertão dos Inhamuns,9
PARAMOTI,Sertão de Canindé,9
PEDRA BRANCA,Sertão Central,24
PENAFORTE,Cariri,7
PENTECOSTE,Litoral Oeste / Vale do Curu,5
PEREIRO,Vale do Jaguaribe,7
PINDORETAMA,Grande Fortaleza,7
PIQUET CARNEIRO,Sertão Central,12
PIRES FERREIRA,Sertão de Sobral,5
PORANGA,Sertão dos Crateús,6
PORTEIRAS,Cariri,9
POTENGI,Cariri,5
POTIRETAMA,Vale do Jaguaribe,11
QUITERIANÓPOLIS,Sertão dos Inhamuns,10
QUIXADÁ,Sertão Central,21
QUIXELÔ,Centro Sul,7
QUIXERAMOBIM,Sertão Central,19
QUIXERÉ,Vale do Jaguaribe,9
REDENÇÃO,Maciço de Baturité,12
RERIUTABA,Sertão de Sobral,11
RUSSAS,Vale do Jaguaribe,17
SABOEIRO,Centro Sul,18
SALITRE,Cariri,8
SANTA QUITÉRIA,Sertão dos Crateús,13
SANTANA DO ACARAÚ,Sertão de Sobral,11
SANTANA DO CARIRI,Cariri,14
SENADOR POMPEU,Sertão Central,6
SENADOR SÁ,Sertão de Sobral,8
SOBRAL,Sertão de Sobral,76
SOLONÓPOLE,Sertão Central,11
SÃO BENEDITO,Serra da Ibiapaba,18
SÃO GONÇALO DO AMARANTE,Grande Fortaleza,16
SÃO JOÃO DO JAGUARIBE,Vale do Jaguaribe,8
SÃO LUÍS DO CURU,Grande Fortaleza,5
TABULEIRO DO NORTE,Vale do Jaguaribe,19
TAMBORIL,Sertão dos Crateús,15
TARRAFAS,Cariri,9
TAUÁ,Sertão dos Inhamuns,18
TEJUÇUOCA,Litoral Oeste / Vale do Curu,20
TIANGUÁ,Serra da Ibiapaba,20
TRAIRI,Grande Fortaleza,17
TURURU,Litoral Oeste / Vale do Curu,9
UBAJARA,Serra da Ibiapaba,4
UMARI,Centro Sul,12
UMIRIM,Litoral Oeste / Vale do Curu,10
URUBURETAMA,Litoral Oeste / Vale do Curu,10
URUOCA,Litoral Norte,10
VARJOTA,Sertão de Sobral,8
VIÇOSA DO CEARÁ,Serra da Ibiapaba,24
VÁRZEA ALEGRE,Cariri,19
